rule,q,iy,ix,dx,dy,count_comb_score,residual_comb_score
winding,16,15,11,0.71875,0.96875,2.0411834736031236,0.8438705455880685
winding,16,15,12,0.78125,0.96875,2.042070119872188,0.7939594956898272
winding,16,15,13,0.84375,0.96875,2.038710608009742,0.8016918013949258
winding,16,15,14,0.90625,0.96875,2.0425896889749326,0.814676814025442
winding,16,15,15,0.96875,0.96875,2.0374574676008153,1.0233930283122805
winding,32,0,0,0.015625,0.015625,2.042524245952489,1.1685015187717671
winding,32,0,1,0.046875,0.015625,2.044917707851476,1.0806081719845904
winding,32,0,2,0.078125,0.015625,2.0438844374464264,1.0526129765623025
winding,32,0,3,0.109375,0.015625,2.0440564165507813,1.0660228608991258
winding,32,0,4,0.140625,0.015625,2.043705956724276,1.0696004444198741
winding,32,0,5,0.171875,0.015625,2.044068757540514,0.9954477582006622
winding,32,0,6,0.203125,0.015625,2.0456728932951473,0.9916194422130289
winding,32,0,7,0.234375,0.015625,2.042370784916219,0.9811125134178803
winding,32,0,8,0.265625,0.015625,2.044338842987947,0.9715893528115012
winding,32,0,9,0.296875,0.015625,2.042862657524551,0.9684796436225654
winding,32,0,10,0.328125,0.015625,2.0425097364089564,0.9573051662371941
winding,32,0,11,0.359375,0.015625,2.0430131924938464,0.9390108028771932
winding,32,0,12,0.390625,0.015625,2.047224461017477,0.9021369099945717
winding,32,0,13,0.421875,0.015625,2.041321165802351,0.917195618773901
winding,32,0,14,0.453125,0.015625,2.046404303368524,0.9254348055955169
winding,32,0,15,0.484375,0.015625,2.040423837770804,0.8903306070523426
winding,32,0,16,0.515625,0.015625,2.0432733963507226,0.8852397328701073
winding,32,0,17,0.546875,0.015625,2.041241589976803,0.8475671900667415
winding,32,0,18,0.578125,0.015625,2.047254938090704,0.8293203209893246
winding,32,0,19,0.609375,0.015625,2.039654315965778,0.840403770636403
winding,32,0,20,0.640625,0.015625,2.0381809324348894,0.831350134343792
winding,32,0,21,0.671875,0.015625,2.0413027567604547,0.854056492839923
winding,32,0,22,0.703125,0.015625,2.0427754493169545,0.8736049585451097
