loop,t_near,u_near,distance,a,b,abs_a,abs_b,a_zero,b_zero,a_even,b_even,a_even_nonzero,b_even_nonzero,a_prime,b_prime,norm,norm_prime,theta_mod_2pi,arg_zeta_mod_2pi,theta_mod_pi,arg_zeta_mod_pi
104,243.7589196286304,0.75,0.021047355673136252,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.1574250357894513,6.2673529249799405,0.015832382199658213,3.1257602713901473
105,245.55288335962084,0.48333333333333334,0.040344440821985454,6,-1,6,1,False,False,True,False,True,False,False,False,37,True,0.15896286546117722,6.1242224417184215,0.15896286546117722,2.9826297881286283
106,247.41049744098197,0.2833333333333333,0.5685406571809698,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.5671344734614365,5.857643487307955,0.4255418198716434,2.716050833718162
107,248.88687154844837,0.5333333333333333,0.015837645012362695,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.28081998635011,0.002365320829489029,3.139227332760317,0.002365320829489029
108,250.60653603054806,0.7166666666666667,0.054123867490944035,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.164024953644521,6.260753007124872,0.02243230005472796,3.1191603535350785
109,252.11093394561132,0.5333333333333333,0.07129676831857734,3,1,3,1,False,False,False,False,False,False,True,False,10,False,5.938888354746162,0.3442969524334377,2.7972957011563686,0.3442969524334377
110,254.82165781648493,0.7833333333333333,0.12224365922701834,0,-2,0,2,True,False,True,True,False,True,False,True,4,False,4.666948301760712,4.757829659008681,1.525355648170919,1.6162370054188875
111,255.71810850710702,0.3833333333333333,0.1278457099508377,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.04418829621666731,6.238997010962932,0.04418829621666731,3.097404357373139
112,257.12400474711063,0.3333333333333333,0.06143689752217358,2,1,2,1,False,False,True,False,True,False,True,False,5,True,2.6513820272098982,0.49021062637990853,2.6513820272098982,0.49021062637990853
113,259.116019228566,0.4,0.19852722875397338,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.06890591151665149,6.214279395662948,0.06890591151665149,3.072686742073155
114,260.52584703334094,0.7,0.5967911486389644,1,0,1,0,False,True,False,True,False,False,False,False,1,False,2.692675650434751,0.44891700315505606,2.692675650434751,0.44891700315505606
115,261.3587571636669,0.2,0.015407116235622265,-1,2,1,2,False,False,False,True,False,True,False,True,5,True,4.244562640464608,2.0386226667149927,1.1029699868748146,2.0386226667149927
116,264.5658845151842,0.5,0.0823789812033229,2,-2,2,2,False,False,True,True,True,True,True,True,8,False,3.949287572082234,5.4754903886871595,0.8076949184924409,2.3338977350973664
117,265.92784067429915,0.35,0.42748969697692757,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.21485489430621385,6.068330412873387,0.21485489430621385,2.9267377592835935
118,267.46449001163955,0.65,0.14480218780256893,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.0947132488709173,0.04687940471889019,3.0947132488709173,0.04687940471889019
119,269.59486137948596,0.8166666666666667,0.0963127332388627,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,0.8113866407083989,5.4717986664712015,0.8113866407083989,2.3302060128814084
120,270.83383278468517,0.5666666666666667,0.04567025228824864,2,0,2,0,False,True,True,True,True,False,True,False,4,False,3.1414811404902068,0.00011151309960092,3.1414811404902068,0.00011151309960092
121,272.6733721961886,0.6,0.052866493204425866,3,-1,3,1,False,False,False,False,False,False,True,False,10,False,0.3230832544172415,5.96010205276236,0.3230832544172415,2.8185093991725667
122,273.7433064673092,0.13333333333333333,0.03892076168348234,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.3411699457373913,0.8004227078524166,2.3411699457373913,0.8004227078524166
123,275.933336330905,0.4,0.5553021799336674,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.1952825544859209,6.08790275269368,0.1952825544859209,2.9463100991038873
124,277.11150918175457,0.36666666666666664,0.15739352375398977,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.424629201989042,0.7169634516007662,2.424629201989042,0.7169634516007662
125,278.96826250281015,0.7333333333333333,0.45237749955030315,1,0,1,0,False,True,False,True,False,False,False,False,1,False,5.943070087989675,0.3401152191899267,2.8014774343998816,0.3401152191899267
126,279.5527388662977,0.1,0.054336759630944476,-1,1,1,1,False,False,False,False,False,False,False,False,2,True,0.7687145451042596,2.372878108485549,0.7687145451042596,2.372878108485549
127,282.71386952021766,0.3333333333333333,0.6657203834864989,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.4931728331375993,5.790012474042002,0.4931728331375993,2.648419820452209
128,283.75265465526184,0.3333333333333333,0.30841105731565194,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.4712236746967378,0.6703689788930709,2.4712236746967378,0.6703689788930709
129,285.75169727271987,0.5,0.02015450406763833,2,0,2,0,False,True,True,True,True,False,True,False,4,False,6.283137680983053,4.762619654887692e-05,3.14154502739326,4.762619654887692e-05
130,287.41415949002726,0.6,0.06815417416632331,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.1753790387908793,6.249398921978516,0.03378638520108623,3.107806268388723
131,288.2178275432823,0.18333333333333332,0.01964289228470625,0,1,0,1,True,False,True,False,False,False,False,False,1,False,4.71217055805954,1.571014749120062,1.5705779044697472,1.571014749120062
132,291.4686214721547,0.8333333333333334,0.12373411412815409,0,-2,0,2,True,False,True,True,False,True,False,True,4,False,4.656624425988504,4.768153534780891,1.5150317723987108,1.6265608811910983
133,292.55968235130155,0.4166666666666667,0.1199505173346768,2,-1,2,1,False,False,True,False,True,False,True,False,5,True,0.4676890868432366,5.815496220336366,0.4676890868432366,2.6739035667465725
134,294.00395843538735,0.31666666666666665,0.19574730522738762,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.243050037987203,6.181727922782192,0.10145738439740981,3.0401352691923993
135,295.34020285506614,0.6166666666666667,0.8158118481709815,1,0,1,0,False,True,False,True,False,False,False,False,1,False,5.813974108546816,0.4692111986327867,2.672381454957023,0.4692111986327867
136,296.5756334397306,0.4166666666666667,0.08107680589246415,1,3,1,3,False,False,False,False,False,False,False,True,10,False,1.910437517633902,1.2311551359559076,1.910437517633902,1.2311551359559076
137,299.65423871402066,0.9,0.05113064471473238,0,-1,0,1,True,False,True,False,False,False,False,False,1,False,1.568340243040467,4.714845064139136,1.568340243040467,1.573252410549343
138,301.3175888237519,0.8166666666666667,0.10796227214139878,0,-1,0,1,True,False,True,False,False,False,False,False,1,False,4.784861874681525,4.639916086087871,1.6432692210917317,1.4983234324980783
139,302.12067983337107,0.45,0.18292575552023765,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.05630767151513538,6.226877635664468,0.05630767151513538,3.0852849820746746
140,304.5028082532248,0.8333333333333334,0.03850693938726065,0,-1,0,1,True,False,True,False,False,False,False,False,1,False,4.67392193088768,4.750856029881716,1.5323292772978867,1.6092633762919233
141,305.3111307401966,0.5166666666666666,0.4869051657624556,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.242927976346557,0.040257330833046105,3.101335322756764,0.040257330833046105
142,306.151528560452,0.2833333333333333,0.03695936796931525,0,1,0,1,True,False,True,False,False,False,False,False,1,False,1.5921435312430816,1.5494491223467288,1.5921435312430816,1.5494491223467288
143,307.89366360861646,0.23333333333333334,0.11967186549626253,1,4,1,4,False,False,False,True,False,True,False,False,17,True,4.979762150810174,1.3034231563694294,1.838169497220381,1.3034231563694294
144,310.8130893776834,0.6666666666666666,0.43133856125919773,0,-1,0,1,True,False,True,False,False,False,False,False,1,False,4.3844984837149,5.040279477054497,1.2429058301251068,1.898686823464704
145,311.7963947445856,0.5,0.12660406435122495,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.0201816807092996,6.263003626470304,0.0201816807092996,3.1214109728805113
146,313.0249430133874,0.3833333333333333,0.14482706243170027,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.419806995081842,0.7217856585079687,2.419806995081842,0.7217856585079687
147,314.25843210248087,0.18333333333333332,0.15548855051327556,0,1,0,1,True,False,True,False,False,False,False,False,1,False,4.831508257755615,1.4516770494239886,1.6899156041658223,1.4516770494239886
148,316.9064707700474,0.6333333333333333,0.08335570130849522,3,-2,3,2,False,False,False,True,False,True,True,True,13,True,3.7338970563395506,5.6908809044298465,0.5923044027497575,2.5492882508400534
149,318.16348938624634,0.3833333333333333,0.22298433401968723,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.199356711998497,0.083828595181107,3.0577640584087042,0.083828595181107
150,320.58347016549783,0.75,0.08712570182289424,0,-2,0,2,True,False,True,True,False,True,False,True,4,False,4.669596064454211,4.755181896315186,1.528003410864418,1.6135892427253928
